Platform,Stress,Clock Type,Min (ms),Max (ms),Mean (ms),Std. (ms),Period > Freq * 1.25,CPU Usage
Linux (RPi),FALSE,Sleep Spin,7.598508,7.915356,7.611532772,0.0065598,0,44.82%
Linux (RPi),FALSE,Spin Lock,7.577322,7.5896,7.578235524,0.0005393,0,100.00%
Linux (RPi),FALSE,Sleep,7.643044,10.851934,7.677992326,0.0831994,3,0.70%
Linux (RPi),FALSE,NS Sleep Spin,7.602452,11.549223,7.618763481,0.0559768,1,44.84%
Linux (RPi),FALSE,NS Spin Lock,7.577397,7.686136,7.578373418,0.0021817,0,99.96%
Linux (RPi),FALSE,NS Sleep,7.636026,8.593145,7.674564242,0.0213947,0,0.72%
Linux (RPi),TRUE,Sleep Spin,7.585492,22.07376,7.707042531,1.0803739,58,43.65%
Linux (RPi),TRUE,Spin Lock,7.577324,34.805138,8.590226944,2.6213794,826,78.91%
Linux (RPi),TRUE,Sleep,7.594732,13.34989,7.644823587,0.0986547,2,0.25%
Linux (RPi),TRUE,NS Sleep Spin,7.595991,25.968181,7.667823747,0.8647993,30,44.12%
Linux (RPi),TRUE,NS Spin Lock,7.577455,34.8459,8.496823981,2.4881494,755,80.52%
Linux (RPi),TRUE,NS Sleep,7.598972,41.502919,7.659911976,0.5399449,11,0.28%
Linux VM (macOS),FALSE,Sleep Spin,7.577175,1000.076584,7.776211297,14.0346501,1,43.22%
Linux VM (macOS),FALSE,Spin Lock,7.575853,7.599676,7.576020621,0.0004673,0,100.00%
Linux VM (macOS),FALSE,Sleep,7.629394,11.191785,9.061864637,0.6379988,3391,0.55%
Linux VM (macOS),FALSE,NS Sleep Spin,7.577382,7.59765,7.577839851,0.0009772,0,44.37%
Linux VM (macOS),FALSE,NS Spin Lock,7.575883,7.596507,7.576035141,0.0005984,0,100.00%
Linux VM (macOS),FALSE,NS Sleep,7.652992,12.002878,9.109883684,0.5937854,3497,0.57%
Linux VM (macOS),TRUE,Sleep Spin,7.577395,7.660939,7.57782836,0.0016696,0,44.40%
Linux VM (macOS),TRUE,Spin Lock,7.575889,20.414425,7.99358336,0.987906,180,67.14%
Linux VM (macOS),TRUE,Sleep,7.587513,7.775049,7.63550596,0.004453,0,0.08%
Linux VM (macOS),TRUE,NS Sleep Spin,7.577552,7.609302,7.57803459,0.0012843,0,44.41%
Linux VM (macOS),TRUE,NS Spin Lock,7.575883,16.423908,7.98527582,0.9932571,171,67.90%
Linux VM (macOS),TRUE,NS Sleep,7.582202,7.87484,7.63579739,0.0055971,0,0.08%
Linux VM (Windows),FALSE,Sleep Spin,7.578513,55.231217,9.092628279,4.0680276,1724,30.26%
Linux VM (Windows),FALSE,Spin Lock,7.576035,10.078772,7.579488952,0.0678362,5,99.94%
Linux VM (Windows),FALSE,Sleep,7.634148,380.912628,9.779694109,5.833686,2787,0.52%
Linux VM (Windows),FALSE,NS Sleep Spin,7.578916,51.612997,9.681492238,3.642691,2779,17.61%
Linux VM (Windows),FALSE,NS Spin Lock,7.576059,8.51178,7.579714709,0.0262712,0,99.97%
Linux VM (Windows),FALSE,NS Sleep,7.655964,51.672022,10.189878,2.4386374,3760,0.27%
Linux VM (Windows),TRUE,Sleep Spin,7.578565,1912.728574,67.85653388,220.8726179,4561,0.39%
Linux VM (Windows),TRUE,Spin Lock,7.57605,1027.337747,9.638639839,39.9733271,249,76.61%
Linux VM (Windows),TRUE,Sleep,8.149482,2609.877403,42.45730119,175.6906533,4990,0.09%
Linux VM (Windows),TRUE,NS Sleep Spin,7.579052,1859.00788,86.79414164,252.2525392,4544,0.29%
Linux VM (Windows),TRUE,NS Spin Lock,7.576053,1999.523732,10.42753315,47.5450132,550,68.27%
Linux VM (Windows),TRUE,NS Sleep,7.704651,1873.977479,30.04854073,135.9319691,4982,0.13%
macOS,FALSE,Sleep Spin,7.578292,7.597375,7.578995417,0.0009909,0,50.34%
macOS,FALSE,Spin Lock,7.575958,7.608417,7.576276992,0.0010033,0,99.77%
macOS,FALSE,Sleep,7.606375,15.408291,8.89180585,0.6795628,2605,0.32%
macOS,FALSE,NS Sleep Spin,7.578541,7.975041,7.579519583,0.0056872,0,50.40%
macOS,FALSE,NS Spin Lock,7.575958,7.594291,7.576251308,0.000891,0,99.78%
macOS,FALSE,NS Sleep,7.60175,11.425292,8.9299232,0.6596643,2699,0.32%
macOS,TRUE,Sleep Spin,7.576625,12.7825,7.581696825,0.1105295,4,40.50%
macOS,TRUE,Spin Lock,7.575917,10.305041,7.577537833,0.0523916,3,99.91%
macOS,TRUE,Sleep,7.589167,9.5195,9.456243717,0.1618879,4903,0.06%
macOS,TRUE,NS Sleep Spin,7.577416,13.004209,7.580051533,0.0839012,2,50.42%
macOS,TRUE,NS Spin Lock,7.575917,10.151709,7.577997367,0.0610868,2,99.90%
macOS,TRUE,NS Sleep,7.597292,9.541167,9.455867067,0.1602162,4897,0.06%
Windows,FALSE,Sleep Spin,15.4745,16.83919997,15.62526724,0.0302655,5000,0.00%
Windows,FALSE,Spin Lock,7.575999938,7.7583,7.57620516,0.0026538,0,99.94%
Windows,FALSE,Sleep,3.902800031,15.76690003,15.62265462,0.1676566,4999,0.00%
Windows,FALSE,NS Sleep Spin,10.4868,19.876,15.62442874,0.1726674,5000,0.00%
Windows,FALSE,NS Spin Lock,7.5761,9.0253,7.57759478,0.0210566,0,99.76%
Windows,FALSE,NS Sleep,11.9603,15.7203,15.6242673,0.0558866,5000,0.00%
Windows,TRUE,Sleep Spin,7.579100031,47.09980003,24.3304251,9.5427937,4939,0.00%
Windows,TRUE,Spin Lock,7.576199938,49.72210003,8.70880642,4.0122269,463,81.06%
Windows,TRUE,Sleep,0.3398,46.95539997,24.81637218,10.2575998,4913,0.00%
Windows,TRUE,NS Sleep Spin,7.5798,46.9647,24.33238552,9.88622,4914,0.01%
Windows,TRUE,NS Spin Lock,7.5763,53.9433,8.80889506,4.2831839,486,80.14%
Windows,TRUE,NS Sleep,0.3911,46.8982,24.37187036,9.9010851,4906,0.03%